,Country,Admin1,Admin2,Month,Year,Events,Fatalities
195,Palestine,West Bank,Tubas,1,2021,4,0
196,Palestine,West Bank,Tulkarm,1,2021,8,1
197,Palestine,Gaza Strip,Khan Yunis,1,2021,4,0
198,Palestine,West Bank,Hebron,1,2021,25,1
199,Palestine,Gaza Strip,Rafah,1,2021,1,0
200,Palestine,West Bank,Bethlehem,1,2021,24,2
201,Palestine,West Bank,Salfit,1,2021,13,1
202,Palestine,Gaza Strip,Deir El Balah,1,2021,2,0
203,Palestine,West Bank,Nablus,1,2021,27,0
204,Palestine,West Bank,Ramallah and Al Bireh,1,2021,32,0
205,Palestine,West Bank,Jenin,1,2021,15,0
206,Palestine,West Bank,Qalqilya,1,2021,12,0
207,Palestine,West Bank,Al Quds,1,2021,36,0
208,Palestine,West Bank,Jericho,1,2021,8,0
209,Palestine,Gaza Strip,Gaza City,2,2021,0,0
210,Palestine,Gaza Strip,North Gaza,2,2021,0,0
211,Palestine,West Bank,Tubas,2,2021,3,1
212,Palestine,West Bank,Tulkarm,2,2021,3,0
213,Palestine,Gaza Strip,Khan Yunis,2,2021,0,0
214,Palestine,West Bank,Hebron,2,2021,16,0
215,Palestine,Gaza Strip,Rafah,2,2021,1,0
216,Palestine,West Bank,Bethlehem,2,2021,16,0
217,Palestine,West Bank,Salfit,2,2021,4,1
218,Palestine,Gaza Strip,Deir El Balah,2,2021,0,0
219,Palestine,West Bank,Nablus,2,2021,29,0
220,Palestine,West Bank,Ramallah and Al Bireh,2,2021,28,2
221,Palestine,West Bank,Jenin,2,2021,16,0
222,Palestine,West Bank,Qalqilya,2,2021,17,0
223,Palestine,West Bank,Al Quds,2,2021,43,0
224,Palestine,West Bank,Jericho,2,2021,2,0
225,Palestine,Gaza Strip,Gaza City,3,2021,1,0
226,Palestine,Gaza Strip,North Gaza,3,2021,1,0
227,Palestine,West Bank,Tubas,3,2021,5,0
228,Palestine,West Bank,Tulkarm,3,2021,4,0
229,Palestine,Gaza Strip,Khan Yunis,3,2021,1,3
230,Palestine,West Bank,Hebron,3,2021,17,0
231,Palestine,Gaza Strip,Rafah,3,2021,0,0
232,Palestine,West Bank,Bethlehem,3,2021,17,0
233,Palestine,West Bank,Salfit,3,2021,9,0
234,Palestine,Gaza Strip,Deir El Balah,3,2021,2,0
235,Palestine,West Bank,Nablus,3,2021,25,0
236,Palestine,West Bank,Ramallah and Al Bireh,3,2021,23,0
237,Palestine,West Bank,Jenin,3,2021,12,0
238,Palestine,West Bank,Qalqilya,3,2021,8,0
239,Palestine,West Bank,Al Quds,3,2021,42,0
240,Palestine,West Bank,Jericho,3,2021,5,0
241,Palestine,Gaza Strip,Gaza City,4,2021,12,0
242,Palestine,Gaza Strip,North Gaza,4,2021,3,0
243,Palestine,West Bank,Tubas,4,2021,2,0
244,Palestine,West Bank,Tulkarm,4,2021,2,0
245,Palestine,Gaza Strip,Khan Yunis,4,2021,8,0
246,Palestine,West Bank,Hebron,4,2021,22,1
247,Palestine,Gaza Strip,Rafah,4,2021,7,0
248,Palestine,West Bank,Bethlehem,4,2021,10,0
249,Palestine,West Bank,Salfit,4,2021,5,0
250,Palestine,Gaza Strip,Deir El Balah,4,2021,7,0
251,Palestine,West Bank,Nablus,4,2021,27,0
252,Palestine,West Bank,Ramallah and Al Bireh,4,2021,18,0
253,Palestine,West Bank,Jenin,4,2021,7,0
254,Palestine,West Bank,Qalqilya,4,2021,4,0
255,Palestine,West Bank,Al Quds,4,2021,78,1
256,Palestine,West Bank,Jericho,4,2021,5,0
257,Palestine,Gaza Strip,Gaza City,5,2021,55,120
258,Palestine,Gaza Strip,North Gaza,5,2021,38,51
259,Palestine,West Bank,Tubas,5,2021,7,1
260,Palestine,West Bank,Tulkarm,5,2021,30,2
261,Palestine,Gaza Strip,Khan Yunis,5,2021,19,14
262,Palestine,West Bank,Hebron,5,2021,107,8
263,Palestine,Gaza Strip,Rafah,5,2021,7,11
264,Palestine,West Bank,Bethlehem,5,2021,49,1
265,Palestine,West Bank,Salfit,5,2021,28,1
266,Palestine,Gaza Strip,Deir El Balah,5,2021,11,12
267,Palestine,West Bank,Nablus,5,2021,97,12
268,Palestine,West Bank,Ramallah and Al Bireh,5,2021,79,4
269,Palestine,West Bank,Jenin,5,2021,34,5
270,Palestine,West Bank,Qalqilya,5,2021,36,0
271,Palestine,West Bank,Al Quds,5,2021,139,2
272,Palestine,West Bank,Jericho,5,2021,11,1
273,Palestine,Gaza Strip,Gaza City,6,2021,3,3
274,Palestine,Gaza Strip,North Gaza,6,2021,4,0
275,Palestine,West Bank,Tubas,6,2021,5,0
276,Palestine,West Bank,Tulkarm,6,2021,3,0
277,Palestine,Gaza Strip,Khan Yunis,6,2021,1,0
278,Palestine,West Bank,Hebron,6,2021,16,1
279,Palestine,Gaza Strip,Rafah,6,2021,1,0
280,Palestine,West Bank,Bethlehem,6,2021,4,0
281,Palestine,West Bank,Salfit,6,2021,3,0
282,Palestine,Gaza Strip,Deir El Balah,6,2021,1,0
283,Palestine,West Bank,Nablus,6,2021,36,3
284,Palestine,West Bank,Ramallah and Al Bireh,6,2021,22,0
285,Palestine,West Bank,Jenin,6,2021,13,4
286,Palestine,West Bank,Qalqilya,6,2021,9,0
287,Palestine,West Bank,Al Quds,6,2021,40,2
